Title ,QuestionEN,QuestionFR,AnswerEN,AnswerFR,KeywordsEN,KeywordsFR,Enter Type,Enter Type FR,Number,ID
"What does the Saba Sign In page’s ""Remember Me"" option do?",,À quoi sert l'option « Mémoriser mon profil » sur la page d'ouverture de session de Saba?,"<span style=""font-size:12px;"">When you select the &quot;Remember Me&quot; checkbox, your username and password are saved on your device. When you return to Saba, your login credentials will be pre-filled, so you will only need to select the <strong>Sign In</strong> button to start your session.</span></div><div class=""ExternalClass154A03BEBF574D8F9F7FCDD15D4A8BCA""><span style=""font-size:12px;""><strong>Session duration</strong>: The session duration for Saba has been extended to one hour, with a warning message sent 10 minutes before its expiration.</span>","<div><span style=""font-size:12px;"">Lorsque vous sélectionnez la case « Mémoriser mon profil », votre nom d'utilisateur et votre mot de passe seront sauvegardés sur votre appareil. Quand vous reviendrez sur Saba, vos identifiants de connexion seront préremplis et il vous suffira de sélectionner le bouton <strong>Ouvrir une Session</strong> débuter votre session.  <br><strong>Durée de la session</strong> : La durée de la session pour Saba a été augmentée à une heure, avec l'envoi d'un message d'avertissement 10 minutes avant son expiration.</span></div>","Remember Me, login, login page, Session duration,  duration, Session","Mémoriser mon profil,  connexion, page de connexion, Durée de la session, session",Learner,,10,31
"When I try to reset my Saba password, it doesn’t work. (For learners)",,"Lorsque j'essaie de réinitialiser mon mot de passe Saba, cela ne fonctionne pas.  (Pour apprenants)","<div><table><tbody><tr><td><p>To avoid login issues:</p><br><ul><li>Always access Saba from the following URL: <a href=""http://esdc.sabacloud.com/"">http://esdc.sabacloud.com/</a>.</li><li>When required, enter your temporary password or password manually, as copy-pasting may add a space.</li></ul><ol><li>Follow the instructions in the “<a href=""https://014gc.sharepoint.com/sites/ILMS-SIGA/Aidesmmoire%20%20Job%20Aids/Aide-mémoires%20en%20anglais%20-%20English%20Job%20Aids/Apprenant%20-%20Learner/(Apprenant)%20Réinitialiser%20son%20mot%20de%20passe%20–%20(Learner)%20Reset%20Your%20Password_EN.docx?d=w9d01e5fc31294e3991901117d53bcd70&amp;csf=1&amp;web=1&amp;e=Cwt9Lb"">Reset Your Password</a>” job aid.</li><li>If you do not receive an email within an hour of following the above instructions, open a ticket with the <a href=""https://iservice.prv/eng/imit/nsd/index.shtml"">National Service Desk</a> by selecting Saba as the Product/system/application.</li><br></ol></td></tr></tbody></table></div>","<div><table><tbody><tr><td><p>Pour éviter les problèmes de connexion :</p><br><ul><li>Accédez toujours à Saba à partir de l'URL suivante : <a href=""http://esdc.sabacloud.com/"">http://esdc.sabacloud.com/</a>.</li><li>Lorsque nécessaire, saisissez votre mot de passe temporaire ou votre mot de passe manuellement, car le copier-coller peut ajouter un espace.</li></ul><ol><li>Veuillez suivre les directives présentées dans l’aide-mémoire: «<a href=""https://014gc.sharepoint.com/sites/ILMS-SIGA/Aidesmmoire%20%20Job%20Aids/Aide-mémoires%20en%20français%20-%20French%20Job%20Aids/Apprenant%20-%20Learner/(Apprenant)%20Réinitialiser%20son%20mot%20de%20passe%20–%20(Learner)%20Reset%20Your%20Password_FR.docx?d=w96de827afa474ae2ac230830abaa8f3a&amp;csf=1&amp;web=1&amp;e=fbKvLT"">Réinitialiser son mot de passe</a> ».</li><li>Si vous ne recevez pas de courriel dans l’heure après avoir suivi les instructions ci-dessus, veuillez ouvrir un billet auprès de l’<a href=""https://iservice.prv/fra/giti/isn/index.shtml"">InfoService national</a> en inscrivant Saba lorsque vous devez sélectionner produit/système/application.</li><br></ol></td></tr></tbody></table></div>","peoplesoft, password, pass, pwd, change, update, access, new, login, log in, connect, first","peoplesoft, mot de passe, mdp, reinitialiser, mettre à jour, acces, accès, new, login, log in, connect, first",Learner,,1,33
I already completed an Essential Training Curriculum (ETC) course at a previous department. Do I need to take the course again at ESDC? (For learners),,J’ai déjà suivi un des cours du curriculum de formation essentielle (CFE) lorsque je travaillais à un autre ministère. Dois-je le suivre à nouveau maintenant que je suis à EDSC? (Pour apprenants),"<table class=""MsoTable15Grid4Accent3""><tbody><tr><td><p>Depending on the course, you may be automatically granted equivalency in Saba. Before opening a ticket, please wait one to two weeks before viewing your Saba profile again to confirm whether your completed courses were updated in Saba.</p><br><p>If your completed courses are still missing after this waiting period, please open a ticket with the <a href=""https://iservice.prv/eng/imit/nsd/index.shtml"">National Service Desk</a> to credit an ETC course completed in another department.</p><br><p>In your ticket, please include the following information:</p><br><ol><li>The name of the course;</li><li>The date the course was completed; and</li><li>Your proof/certificate of completion (located in your <a href=""https://www.csps-efpc.gc.ca/platform/about-eng.aspx"">CSPS learning profile</a>).</li><br></ol><p>If the course counts as an equivalent, we will mark it complete on your Saba account. If the course owners determine that ESDC’s version is different, you will need to register and complete it.</p></td></tr></tbody></table>","<div><table><tbody><tr><td><p>Tout dépendant du cours, vous pourriez automatiquement recevoir une mention d’équivalence dans Saba. Avant d’ouvrir un billet, veuillez attendre une à deux semaines pour consulter votre profil Saba de nouveau afin de confirmer si vos données d’achèvement ont été mises à jour dans Saba.</p><br><p>Si vos données d’achèvement sont toujours manquantes après cette période d’attente, veuillez ouvrir un billet auprès de l’<a href=""https://iservice.prv/fra/giti/isn/index.shtml"">InfoService National</a> pour faire créditer un cours du CFE suivi dans un autre ministère.</p><br><p>Dans votre billet, veuillez mentionner ce qui suit :</p><br><ol><li>Le titre du cours;</li><li>La date d’achèvement du cours;</li><li>Une preuve ou un certificat d’achèvement (que vous trouverez dans votre profil <a href=""https://www.csps-efpc.gc.ca/platform/about-fra.aspx"">d’apprentissage de l’EFPC</a>).</li><br></ol></td></tr></tbody></table></div><p>Si le cours est considéré comme équivalent, nous le marquerons comme achevé dans votre compte Saba. Si les propriétaires du cours déterminent que la version d'EDSC est différente, vous devrez vous y inscrire et le compléter.</p>","essential, etc, curricula, courses, classes, transfer, start over, profile, repeat, redo, equivalence, missing, CFE","curriculum, curricula, complété, complete, completer, essentielle, cfe, obligatoire, EDSC, cours, classes, transférer, transfert, transferer, recommencer, profil, répéter, repeter, refaire, de nouveau, équivalence,",Learner,,2,34
How can I ensure that the Essential Training Curriculum (ETC) courses I am directed to take through Canada School of Public Service (CSPS) are included in my Saba profile? (For learners),,Comment puis-je m’assurer que mes résultats aux cours du curriculum de formation essentielle (CFE) offerts par L’École de la fonction publique du Canada (EFPC) soient transférés dans mon profil Saba? (Pour apprenants),"<div><table><tbody><tr><td><p>In order for your CSPS learning to be properly captured in your Saba profile, make sure that your current ESDC/Service Canada email address is listed in your CSPS Learning Platform profile by doing the following:</p><br><ol><li>Log in to your <a href=""https://www.csps-efpc.gc.ca/platform/about-eng.aspx"">CSPS profile</a>;</li><li>Select <strong>Settings</strong>;</li><li>Select <strong>Account information</strong> and confirm that your departmental email address is listed; and</li><li>Review the <strong>Current</strong> <strong>organization</strong> section and confirm your organization is listed as ESDC. You can update your classification and your employment status if needed as well.</li><br></ol><p>If you need help with your CSPS Learning Platform account, please contact CSPS' <a href=""https://www.csps-efpc.gc.ca/contact_us/inquiries-eng.aspx"">Client Contact Centre</a>.</p></td></tr></tbody></table></div>","<div><table><tbody><tr><td><p>Afin que les cours de l’EFPC que vous avez suivis soient reflétés dans votre profil Saba, vérifiez que votre adresse courriel actuelle d’EDSC ou de Service Canada figure dans votre profil de la plateforme d’apprentissage d’EFPC. Pour ce faire, suivez les étapes suivantes :</p><br><ol><li>Connectez-vous à votre compte <a href=""https://www.csps-efpc.gc.ca/platform/about-fra.aspx"">d’apprentissage de l’EFPC</a>.</li><li>Sélectionnez <strong>Paramètres</strong>.</li><li>Sélectionnez <strong>Informations sur le compte</strong> et assurez-vous que l’adresse courriel indiquée est bien votre adresse ministérielle.</li><li>Sous la section <strong>Organisation actuelle</strong>, assurez-vous que l’organisation indiquée est bien « EDSC ». Vous pouvez également modifier votre classification et votre statut d’emploi au besoin.</li><br></ol></td></tr></tbody></table></div>","essential, etc, curriculum, School of Public Service, school, curricula, courses, classes, transfer, start over, repeat, redo, transfer, equivalence, missing, CFE","curriculum, essentielle, cfe, ecole de la fonction publique du Canada, EFPC, ecole, répéter, repeter, refaire, de nouveau, transfert, transféré, transfere, équivalence, equivalence, manque, manquant manquantes, ETC",Learner,,3,35
How quickly will my Saba profile be updated with my completion results once I complete an Essential Training Curriculum (ETC) course on the Canada School of Public Service (CSPS) Learning Platform? (For learners),,"Une fois que j’ai terminé un cours du Curriculum de formation essentielle (CFE) dans la plateforme d’apprentissage de L’École de la fonction publique du Canada (EFPC), quel est le délai à prévoir avant que mon profil Saba soit mis à jour avec mes données d’achèvement? (Pour apprenants)","<p>ETC course completion information is transferred from CSPS to Saba on a daily basis. If you complete a CSPS course, your Saba profile should be updated within two business days.</p>","<p>Les données sur l’achèvement des cours du CFE sont transférées de la plateforme de l’EFPC vers Saba quotidiennement. Lorsque vous terminez un cours de l’EFPC, votre profil Saba devrait être mis à jour dans les deux jours ouvrables.</p>","essential, etc, curriculum, School of Public Service, CSPS, school, equivalent, equivalence, transfer, completed, how much time, how long, completions, profile, equivalence, missing, CFE","curriculum, essentielle, cfe, ecole de la fonction publique du Canada, EFPC, ecole, équivalence, equivalence, transfert, transférer, transferer, complété, complete, combien de temps, achèvements, achevements, delai, profil, équivalence, equivalence, manqu",Learner,,4,36
"I completed an Essential Training Curriculum (ETC) course in the Canada School of Public Service (CSPS) Learning Platform more than a week ago, yet it is not showing up in my Saba learning history as complete. What do I do? (For learners)",,"J’ai suivi un cours de L’École de la fonction publique du Canada (EFPC) qui figure dans le curriculum de formation essentielle (CFE) il y a plus d’une semaine. Pourtant, mon historique d’apprentissage dans Saba n’indique pas que j’ai terminé ce cours. Que dois-je faire? (Pour apprenants)","<div><table><tbody><tr><td><p>Here is what you need to do if you completed a course in the CSPS learning platform, yet it does not show as complete in your Saba learning history.</p><br><p>Follow these steps:</p><br><ol><li>Log in to your <a href=""https://www.csps-efpc.gc.ca/platform/about-eng.aspx"">CSPS</a> profile;</li><li>Select <strong>Settings</strong>;</li><li>Select <strong>Account information</strong> and confirm that your departmental email address is listed; and</li><li>Review the <strong>Current organization</strong> section and confirm your organization is listed as ESDC. You can update your classification and your employment status if needed as well.</li><br></ol></td></tr></tbody></table></div><p>If your CSPS learner profile was not up to date at the time you completed the course, or if you completed the course more than two weeks ago, please open a ticket with the <a href=""https://iservice.prv/eng/imit/nsd/index.shtml"">National Service Desk</a>. Explain the situation and provide proof of completion (such as a screenshot of your certificate of completion from CSPS) so your Saba account can be updated.</p>","<table class=""MsoTable15Grid4Accent3""><tbody><tr><td><p>Voici les étapes à suivre si vous avez complété un cours sur la plateforme d’apprentissage de l’EFPC, mais que votre historique Saba n’indique pas que vous l’avez terminé.</p><br><p>Suivez ces étapes :</p><br><ol><li>Connectez-vous à votre profil de la <a href=""https://www.csps-efpc.gc.ca/platform/about-fra.aspx""> l’EFPC</a>.</li><li>Sélectionnez <strong>Paramètres</strong>.</li><li>Sélectionnez <strong>Informations sur le compte</strong> et assurez-vous que l’adresse courriel indiquée est bien votre adresse ministérielle.</li><li>Sous la section <strong>Organisation actuelle</strong>, assurez-vous que l’organisation indiquée est bien « EDSC ». Vous pouvez également modifier votre classification et votre statut d’emploi au besoin.</li><br></ol><p> </p><br><p>Si votre profil d’apprenant de l’EFPC n’était pas à jour au moment où vous avez suivi le cours ou si vous l’avez terminé il y a plus de deux semaines, veuillez ouvrir un billet auprès de l’<a href=""https://iservice.prv/fra/giti/isn/index.shtml"">InfoService national</a>. Dans le billet, expliquez la situation et fournissez une preuve d’achèvement (p. ex., une saisie d’écran de votre certificat d’achèvement de l’EFPC) afin que votre compte Saba soit mis à jour.</p></td></tr></tbody></table>","essential, etc, curriculum, School of Public Service, CSPS, school, equivalent, equivalence, transfer, completed, how much time, how long, completions, profile, equivalence, missing, CFE","curriculum, essentielle, cfe, ecole de la fonction publique du Canada, EFPC, ecole, équivalence, equivalence, transfert, transférer, transferer, complété, complete, combien de temps, achèvements, achevements, delai, profil, équivalence, equivalence, manqu",Learner,,5,37
What should I do if I need an alternate (Alt) version of an Essential Training Curriculum (ETC) course? (For learners),,Que dois-je faire si j’ai besoin d’une version accessible d’un cours du Curriculum de formation essentielle (CFE)? (Pour apprenants),"<p>The Alt version of an ESDC course is located directly in the attachment section of the course in Saba. To request an Alt version of a CSPS course, learners need to contact their regional <a href=""https://iservice.prv/eng/college/contact_us/index.shtml"">Learning Service Delivery team</a>.</p>","<p>Les versions alternatives des cours d’EDSC se trouvent directement sous la section Pièces jointes de la classe dans Saba. Pour obtenir une version alternative d’un cours de l’EFPC, vous devez communiquer avec votre <a href=""https://iservice.prv/fra/college/contactez_nous/index.shtml"">équipe régionale de prestation des services d’apprentissage</a>.</p>","essential, etc, curriculum, alternative, equivalence, equivalence, accessibility, accessible, CFE","curriculum, essentielle, cfe, version, accessible, équivalence, equivalence, accessibilité, accessible, accessibilite, ETC",Learner,,6,38
What should I do if I encounter technical difficulties with Saba? (For learners),,Quelle est la procédure à suivre si j’éprouve des difficultés dans Saba? (Pour apprenants),"<table class=""MsoTable15Grid4Accent3""><tbody><tr><td><p>If you are having difficulties accessing Saba and/or launching a course, you can troubleshoot the issue before submitting a ticket. Here are suggestions that might help:</p><br><ul><li>Restart your computer to make sure every program is up to date.</li><li>Try another web browser such as Edge (recommended), Firefox or Chrome.</li><li>Clear your cache.</li></ul><p>If you are still encountering issues, please open a ticket with the <a href=""https://iservice.prv/eng/imit/nsd/index.shtml"">National Service Desk</a>.</p><br><p> </p><br><p>Be sure to include the following information:</p><br><ul><li>The course name and/or ID.</li><li>A description of the issue you are encountering, as well as any relevant information.</li><li>If possible, a screenshot of the issue (please mention that an attachment is included in your ticket).</li></ul></td></tr></tbody></table>","<table class=""MsoTable15Grid4Accent3""><tbody><tr><td><p>Si vous éprouvez des difficultés à accéder à Saba ou à lancer un cours, vous pouvez tenter de résoudre le problème avant de soumettre un billet. Voici quelques suggestions qui pourraient vous aider :</p><br><ul><li>Redémarrer votre ordinateur afin de vous assurer que tous les programmes sont à jour.</li><li>Essayer un autre navigateur internet tel que : Edge (option recommandée), Firefox, Chrome.</li><li>Vider votre mémoire cache.</li></ul><p>Si vous rencontrez toujours des problèmes, veuillez ouvrir un billet auprès de l’<a href=""https://iservice.prv/fra/giti/isn/index.shtml"">InfoService national</a>.</p><br><p> </p><br><p>Veuillez inclure les informations suivantes :</p><br><ul><li>Le nom et/ou l'identifiant du cours.</li><li>Une description du problème que vous rencontrez, ainsi que toute information pertinente.</li><li>Si possible, une capture d'écran du problème (veuillez aussi mentionner qu'une pièce jointe est incluse dans votre billet).</li></ul></td></tr></tbody></table>","technical, difficulties, problem, problems, tickets, national desk, national service, national service desk, NSD, client services, help, does not work ","Problèmes techniques, problemes, ticket, demande, billets, difficultes, probleme, problemes, inforservice, infoservice national, NSD, service clientèle, clientele, aide, ne fonctionne pas ",Learner,,7,39
I cannot find my manager or team leader in Saba. (For learners),,Je ne trouve pas mon gestionnaire ou mon chef d’équipe dans Saba. (Pour apprenants),"<div><table><tbody><tr><td><p>If you cannot find your manager or team leader in your search results, please confirm the spelling of their name; for example, you must include hyphens or accents such as “é”.</p></td></tr></tbody></table></div><p>If you are still unable to find them, please open a ticket with the <a href=""https://iservice.prv/eng/imit/nsd/index.shtml"">National Service Desk</a> for assistance.</p>","<table class=""MsoTable15Grid4Accent3""><tbody><tr><td><p>Si vous n’arrivez pas à trouver votre ou votre chef d’équipe pas dans les résultats de votre recherche, veuillez d’abord confirmer l’orthographe de son nom; par exemple, vous devez inclure les traits d’union ou les accents tels que « é ».</p><br><p>Si vous ne parvenez toujours pas à le trouver, veuillez ouvrir un billet auprès de l'<a href=""https://iservice.prv/fra/giti/isn/index.shtml"">InfoService national</a> pour obtenir de l’aide.</p></td></tr></tbody></table>","manager, managers, manager’s, team lead, lead","gestionnaire, gestionnaires, chef, chef d'équipe, chefs, chefs d'équipe, responsable, responsables, equipe",Learner,,8,40
I need manager access (for managers/team leaders) in Saba. (For managers),,J'ai besoin d'un accès de responsable (pour gestionnaires/chefs d'équipe) dans Saba. (Pour responsables),"<div><table><tbody><tr><td><p>In many cases, manager access must be manually added to your Saba profile by the Learning Infrastructure team. In order to get the access, you will have to open a ticket with the <a href=""https://iservice.prv/eng/imit/nsd/index.shtml"">National Service Desk</a>.</p><br><p> </p><br><p>Following this request, the Learning Infrastructure team will grant you manager access, and your team will be able to add you as their Saba manager.</p><br><p> </p></td></tr></tbody></table></div><p>Your “My Team” menu will become available once you have at least one employee in your team on Saba.</p>","<div><table><tbody><tr><td><p>Dans de nombreux cas, l’accès responsable doit être ajouté manuellement à votre profil Saba par l’équipe Infrastructure de l’apprentissage. Pour obtenir cet accès, vous devrez ouvrir un billet auprès de l'<a href=""https://iservice.prv/fra/giti/isn/index.shtml"">InfoService national</a>.</p><br><p> </p><br><p>À la suite de cette demande, l'équipe Infrastructure de l’apprentissage vous accordera l’accès responsable, et votre équipe pourra vous ajouter en tant que responsable Saba.</p><br><p> </p></td></tr></tbody></table></div><p>Votre menu « Mon équipe » sera disponible dès que vous aurez au moins un employé dans votre équipe sur Saba.</p>","manager, managers, manager’s, team lead, lead","gestionnaire, gestionnaires, chef, chef d'équipe, chefs, chefs d'équipe, responsable, responsables, equipe",Manager ,,9,41
